gender,age,location,category,item,quantity,date,unit_price,total_price
female,31,leinster,phones,gionee,2,2019-01-09,280.99,561.98
female,47,ulster,footwear,puma,6,2019-06-12,99.99,599.94
male,65,munster,accessories,camera,3,2018-01-03,174.88,524.64
female,36,ulster,phones,iphone,9,2019-09-13,910.99,8198.91
female,47,ulster,accessories,speakers,4,2018-10-29,78.35,313.40
male,65,leinster,accessories,speakers,6,2018-03-02,78.35,470.10
female,42,leinster,electronics,refridgerator,6,2018-05-25,205.99,1235.94
male,62,munster,electronics,television,5,2017-04-09,185.50,927.50
female,56,munster,accessories,camera,2,2019-07-09,174.88,349.76
female,30,ulster,computers,asus,10,2018-03-09,984.34,9843.40
male,40,leinster,phones,samsung,3,2019-11-20,890.29,2670.87
female,19,munster,footwear,puma,6,2017-11-15,99.99,599.94
female,31,munster,computers,hp,10,2018-08-14,1082.99,10829.90
female,19,leinster,accessories,camera,1,2018-04-24,174.88,174.88
female,21,leinster,accessories,speakers,9,2019-10-23,78.35,705.15
male,58,leinster,accessories,headphones,1,2019-04-13,225.39,225.39
male,62,ulster,accessories,speakers,4,2018-04-22,78.35,313.40
female,59,leinster,computers,hp,7,2019-09-09,1082.99,7580.93
male,60,leinster,electronics,refridgerator,2,2019-07-01,205.99,411.98
male,23,ulster,computers,hp,2,2018-03-16,1082.99,2165.98
male,41,leinster,phones,nokia,6,2018-11-30,420.19,2521.14
female,29,ulster,computers,asus,8,2018-04-15,984.34,7874.72
female,35,connacht,computers,apple,9,2017-07-24,1672.99,15056.91
female,47,leinster,footwear,puma,5,2019-11-15,99.99,499.95
female,52,connacht,electronics,bulb,7,2017-12-14,7.99,55.93
female,50,munster,electronics,washing_machine,9,2017-08-28,219.99,1979.91
male,56,ulster,electronics,iron,8,2017-09-01,59.60,476.80
female,52,connacht,footwear,puma,6,2018-02-04,99.99,599.94
female,48,ulster,phones,gionee,9,2017-03-10,280.99,2528.91
male,62,munster,phones,iphone,6,2017-05-09,910.99,5465.94
male,23,leinster,computers,hp,2,2019-09-10,1082.99,2165.98
male,62,leinster,footwear,adidas,2,2017-07-01,115.99,231.98
male,62,ulster,footwear,puma,5,2017-05-18,99.99,499.95
female,23,connacht,electronics,cooker,5,2019-06-24,85.99,429.95
female,58,connacht,phones,samsung,9,2017-11-01,890.29,8012.61
female,35,leinster,computers,hp,1,2017-11-30,1082.99,1082.99
female,65,connacht,computers,lenovo,9,2018-08-26,827.45,7447.05
female,30,munster,computers,dell,6,2017-12-31,1323.49,7940.94
female,50,munster,electronics,iron,8,2018-04-13,59.60,476.80
male,64,munster,footwear,adidas,5,2019-01-16,115.99,579.95
female,30,munster,accessories,speakers,7,2019-06-07,78.35,548.45
female,29,ulster,electronics,iron,6,2019-03-21,59.60,357.60
male,62,connacht,computers,hp,2,2017-07-10,1082.99,2165.98
male,22,connacht,computers,lenovo,6,2017-10-17,827.45,4964.70
male,36,leinster,electronics,bulb,5,2018-12-22,7.99,39.95
female,45,leinster,phones,huawei,4,2017-10-15,750.99,3003.96
male,44,ulster,accessories,speakers,4,2018-12-24,78.35,313.40
male,40,leinster,computers,lenovo,3,2017-11-16,827.45,2482.35
male,20,ulster,electronics,bulb,8,2018-12-29,7.99,63.92
male,46,leinster,electronics,washing_machine,9,2018-02-02,219.99,1979.91
male,60,ulster,electronics,bulb,4,2017-03-14,7.99,31.96
male,38,leinster,computers,hp,4,2018-10-24,1082.99,4331.96
female,25,leinster,electronics,cooker,4,2019-11-08,85.99,343.96
female,65,ulster,phones,samsung,9,2017-12-30,890.29,8012.61
male,28,connacht,computers,dell,5,2018-02-07,1323.49,6617.45
female,29,leinster,footwear,nike,6,2017-04-03,107.92,647.52
female,39,ulster,footwear,adidas,3,2018-07-27,115.99,347.97
female,24,ulster,electronics,television,4,2019-04-11,185.50,742.00
male,65,connacht,accessories,headphones,7,2017-01-13,225.39,1577.73
male,65,munster,computers,dell,4,2019-06-03,1323.49,5293.96
male,35,ulster,electronics,washing_machine,4,2017-08-21,219.99,879.96
female,44,connacht,phones,infinix,8,2017-03-15,340.29,2722.32
female,63,connacht,computers,lenovo,7,2017-04-17,827.45,5792.15
male,50,munster,footwear,puma,3,2017-04-28,99.99,299.97
female,54,leinster,footwear,puma,2,2017-09-19,99.99,199.98
male,25,leinster,footwear,adidas,2,2018-04-27,115.99,231.98
female,40,munster,electronics,bulb,3,2019-05-24,7.99,23.97
female,60,leinster,electronics,fan,8,2018-08-31,24.49,195.92
male,18,connacht,computers,hp,9,2019-10-30,1082.99,9746.91
female,61,leinster,phones,gionee,6,2017-03-14,280.99,1685.94
female,45,connacht,accessories,camera,3,2017-08-09,174.88,524.64
female,64,munster,phones,gionee,2,2017-10-12,280.99,561.98
male,29,connacht,electronics,iron,2,2017-09-22,59.60,119.20
female,55,connacht,phones,infinix,10,2017-11-02,340.29,3402.90
male,20,leinster,electronics,washing_machine,8,2019-06-16,219.99,1759.92
male,47,connacht,phones,nokia,9,2017-03-16,420.19,3781.71
male,43,munster,footwear,nike,6,2018-01-05,107.92,647.52
male,50,leinster,footwear,adidas,6,2017-01-28,115.99,695.94
female,65,ulster,computers,hp,8,2017-07-04,1082.99,8663.92
female,33,connacht,accessories,headphones,8,2017-09-25,225.39,1803.12
female,23,munster,computers,lenovo,9,2019-07-01,827.45,7447.05
female,25,leinster,electronics,cooker,4,2017-03-16,85.99,343.96
female,46,munster,footwear,nike,2,2019-04-25,107.92,215.84
male,52,munster,footwear,adidas,5,2017-10-23,115.99,579.95
male,18,connacht,electronics,washing_machine,5,2017-05-25,219.99,1099.95
male,55,munster,phones,samsung,2,2018-06-08,890.29,1780.58
female,65,munster,phones,iphone,6,2019-02-28,910.99,5465.94
male,28,munster,electronics,bulb,1,2017-04-22,7.99,7.99
male,63,munster,accessories,camera,9,2018-11-09,174.88,1573.92
male,52,leinster,computers,asus,10,2018-03-08,984.34,9843.40
female,59,leinster,footwear,puma,10,2018-10-02,99.99,999.90
female,18,leinster,phones,samsung,3,2018-09-08,890.29,2670.87
female,62,leinster,accessories,camera,9,2017-06-25,174.88,1573.92
male,56,leinster,footwear,puma,2,2017-07-26,99.99,199.98
male,39,ulster,computers,hp,5,2019-05-10,1082.99,5414.95
male,27,connacht,accessories,speakers,6,2019-12-13,78.35,470.10
male,51,leinster,computers,lenovo,7,2017-02-01,827.45,5792.15
female,64,ulster,phones,gionee,10,2018-07-10,280.99,2809.90
female,46,ulster,phones,gionee,2,2018-10-09,280.99,561.98
male,64,connacht,electronics,washing_machine,7,2018-12-02,219.99,1539.93
male,23,leinster,electronics,iron,2,2019-04-06,59.60,119.20
male,49,ulster,computers,lenovo,1,2019-11-28,827.45,827.45
